freq,indic_sb,nace_r2,currency,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 
A,V13110,KIS_HTC,MIO_EUR,ES	45832 	44044 	43764 	44543 	43764 	42290 	42905 
A,V13110,KIS_HTC,MIO_EUR,EU27_2007	: @C	: @C	: @C	: @C	: 	: 	: 
A,V13110,KIS_HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13110,KIS_HTC,MIO_EUR,EU28	: 	: 	: 	: @C	: @C	: @C	: 
A,V13110,KIS_HTC,MIO_EUR,FI	: @C	: @C	7660 	: @C	: @C	: b	8782 
A,V13110,KIS_HTC,MIO_EUR,FR	: @C	82406 	88110 	91830 	92714 	86158 	88630 
A,V13110,KIS_HTC,MIO_EUR,HR	: @C	: @C	: @C	1827 	1780 	1832 	1737 
A,V13110,KIS_HTC,MIO_EUR,HU	7262 	6692 	5626 	5758 	5781 	5920 	5997 
A,V13110,KIS_HTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V13110,KIS_HTC,MIO_EUR,IT	60057 	57165 	59007 	59564 	59390 	57500 	55954 
A,V13110,KIS_HTC,MIO_EUR,LT	1011 	799 	796 	825 	807 	811 	877 
A,V13110,KIS_HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: b	: @C	: @C
A,V13110,KIS_HTC,MIO_EUR,LV	775 	647 	684 	749 	865 	878 	860 
A,V13110,KIS_HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13110,KIS_HTC,MIO_EUR,NL	27668 	26543 	27191 	28232 	27478 	27512 	30688 
A,V13110,KIS_HTC,MIO_EUR,NO	10693 	9386 	10785 	12275 	12916 	13171 	12959 
A,V13110,KIS_HTC,MIO_EUR,PL	: @C	11210 	12279 	12913 	13610 	15028 	14304 
A,V13110,KIS_HTC,MIO_EUR,PT	8401 	8196 	8091 	7156 	6835 	6784 b	6435 
A,V13110,KIS_HTC,MIO_EUR,RO	5648 p	4553 p	4718 	4767 	4821 	4989 	5306 
A,V13110,KIS_HTC,MIO_EUR,SE	: @C	18938 	21059 	23847 	29072 	: @C	32640 
A,V13110,KIS_HTC,MIO_EUR,SI	1805 	1736 	1763 	1727 	1713 	1823 	1781 
A,V13110,KIS_HTC,MIO_EUR,SK	2270 	1924 	2161 b	2486 	2607 	2791 	3008 
A,V13110,KIS_HTC,MIO_EUR,TR	: 	9361 	: 	: 	: 	: 	: 
A,V13110,KIS_HTC,MIO_EUR,UK	117657 	99741 	118510 	117865 	123201 	122775 	130607 
A,V13110,KIS_MKT_OTH,MIO_EUR,AT	18461 	17607 	17296 	18601 	19274 	20292 	20860 
A,V13110,KIS_MKT_OTH,MIO_EUR,BE	32580 	: @C	: @C	: @C	35876 	34625 	39462 
A,V13110,KIS_MKT_OTH,MIO_EUR,BG	2733 	2771 	: @C	2183 	2275 	2115 	2305 
A,V13110,KIS_MKT_OTH,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,CY	: @C	: @C	: @C	833 	774 	747 	766 
A,V13110,KIS_MKT_OTH,MIO_EUR,CZ	15076 p	13693 	14610 	15106 	13444 	12894 	12855 
A,V13110,KIS_MKT_OTH,MIO_EUR,DE	137754 	143629 	149999 	166397 	168542 	166126 	192831 
A,V13110,KIS_MKT_OTH,MIO_EUR,DK	37128 	: @C	31584 	35219 	37071 	36432 	36644 
A,V13110,KIS_MKT_OTH,MIO_EUR,EE	: @C	: @C	: @C	: @C	1377 	1494 	1558 
A,V13110,KIS_MKT_OTH,MIO_EUR,EL	12860 	11884 	10732 	8077 	7242 	6911 	7445 
A,V13110,KIS_MKT_OTH,MIO_EUR,ES	57636 	50618 	51542 	51524 	48576 	46516 	52327 
A,V13110,KIS_MKT_OTH,MIO_EUR,EU27_2007	833676 e	: @C	822625 e	859726 e	: 	: 	: 
A,V13110,KIS_MKT_OTH,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13110,KIS_MKT_OTH,MIO_EUR,EU28	: 	: 	: 	862260 e	884306 e	884788 e	: 
A,V13110,KIS_MKT_OTH,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: b	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,FR	: @C	: @C	144495 	154582 	160017 	: @C	128237 
A,V13110,KIS_MKT_OTH,MIO_EUR,HR	: @C	: @C	: @C	2615 	: @C	: @C	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,HU	9454 	8967 	8542 	8257 	7209 	7311 	7670 
A,V13110,KIS_MKT_OTH,MIO_EUR,IE	10986 	9552 	9923 	11073 	13836 	: 	: 
A,V13110,KIS_MKT_OTH,MIO_EUR,IT	78658 	68781 	74564 	75427 	72938 	72364 	77662 
A,V13110,KIS_MKT_OTH,MIO_EUR,LT	1337 	958 	1107 	1165 	1263 	1334 	1462 
A,V13110,KIS_MKT_OTH,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,NL	57283 	54077 	60723 	62075 	64237 	67713 	66526 
A,V13110,KIS_MKT_OTH,MIO_EUR,NO	: 	22905 	26152 	28306 	31575 	30921 	31247 
A,V13110,KIS_MKT_OTH,MIO_EUR,PL	: @C	: @C	: @C	: @C	15116 	17612 	17542 
A,V13110,KIS_MKT_OTH,MIO_EUR,PT	10053 	9494 	10580 	10031 	9606 	9104 b	9111 
A,V13110,KIS_MKT_OTH,MIO_EUR,RO	6643 p	5296 p	5434 	5499 	6051 	5359 	: @C
A,V13110,KIS_MKT_OTH,MIO_EUR,SE	: @C	: @C	: @C	: @C	: @C	: @C	28771 
A,V13110,KIS_MKT_OTH,MIO_EUR,SI	2793 	2472 	2805 	2748 	: @C	2669 	2818 
A,V13110,KIS_MKT_OTH,MIO_EUR,SK	2503 	: @C	3025 b	: @C	3359 	3940 	4662 
A,V13110,KIS_MKT_OTH,MIO_EUR,TR	: 	13786 	: 	: 	: 	: 	: 
A,V13110,KIS_MKT_OTH,MIO_EUR,UK	138357 	117803 	125264 	127925 	144173 	150097 	156016 
A,V13110,LKIS_MKT,MIO_EUR,AT	243177 	218467 	234583 	259704 	263049 	260096 	262159 
A,V13110,LKIS_MKT,MIO_EUR,BE	377179 	339941 	: @C	: @C	431852 	426526 	436192 
A,V13110,LKIS_MKT,MIO_EUR,BG	49996 	41654 	44313 	49024 	51929 	52756 	54228 
A,V13110,LKIS_MKT,MIO_EUR,CH	: 	633035 	863017 b	1132813 	1230757 	1419211 	1352135 
A,V13110,LKIS_MKT,MIO_EUR,CY	13196 	11780 	12663 	12944 	12416 	11579 	11813 
A,V13110,LKIS_MKT,MIO_EUR,CZ	155871 p	132309 	146832 	158171 	156620 	155537 	151709 
A,V13110,LKIS_MKT,MIO_EUR,DE	1509974 	1539185 	1712908 	1893265 	1932685 	1903923 	1972408 
A,V13110,LKIS_MKT,MIO_EUR,DK	173650 	148410 	156895 	170466 	171723 	172657 	171327 
A,V13110,LKIS_MKT,MIO_EUR,EE	20936 	15286 	17732 	21887 	23982 	25152 	24951 
A,V13110,LKIS_MKT,MIO_EUR,EL	168661 	155972 	146163 	134403 	119446 	116010 	121774 
A,V13110,LKIS_MKT,MIO_EUR,ES	776167 	678026 	699665 	699413 	669885 	660270 	706026 
A,V13110,LKIS_MKT,MIO_EUR,EU27_2007	9421944 e	8410332 e	9144580 e	: @C	: 	: 	: 
A,V13110,LKIS_MKT,MIO_EUR,EU28	: 	: 	: 	: @C	10132971 e	10139600 e	: 
A,V13110,LKIS_MKT,MIO_EUR,FI	: 	: 	: 	: @C	: 	134881 b	: 
A,V13110,LKIS_MKT,MIO_EUR,FR	1400983 	1255234 	1330136 	1437275 	1461117 	1473299 	1437313 
A,V13110,LKIS_MKT,MIO_EUR,HR	: @C	: @C	: @C	32070 	31324 	31325 	31266 
A,V13110,LKIS_MKT,MIO_EUR,HU	112508 	82981 	85478 	92080 	90019 	92959 	92448 
A,V13110,LKIS_MKT,MIO_EUR,IE	115754 	96947 	99167 	102053 	103383 	: 	: 
A,V13110,LKIS_MKT,MIO_EUR,IT	1051253 	941467 	1032429 	1042833 	1046937 	1032095 	1049879 
A,V13110,LKIS_MKT,MIO_EUR,LT	30610 	21184 	24127 	28647 	32370 	34772 	35199 
A,V13110,LKIS_MKT,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: b	: @C
A,V13110,LKIS_MKT,MIO_EUR,LV	25287 	17253 	20590 	24206 	27773 	29155 	28544 
A,V13110,LKIS_MKT,MIO_EUR,MT	: @C	: @C	: @C	6471 	: @C	: @C	7704 
A,V13110,LKIS_MKT,MIO_EUR,NL	554331 	503362 	548202 	610318 	617307 	601529 	: @C
A,V13110,LKIS_MKT,MIO_EUR,NO	176054 	144427 	165491 	180236 	195079 	192071 	186116 
A,V13110,LKIS_MKT,MIO_EUR,PL	333048 	299092 	302805 	336771 	331099 	341896 	346080 
A,V13110,LKIS_MKT,MIO_EUR,PT	153101 	137146 	144220 	139250 	129491 	126441 b	130606 
A,V13110,LKIS_MKT,MIO_EUR,RO	111445 p	83662 p	89571 	100116 	101876 	99798 	105315 
A,V13110,LKIS_MKT,MIO_EUR,SE	250996 	210448 	245346 	276099 	296538 	298258 	294806 
A,V13110,LKIS_MKT,MIO_EUR,SI	32965 	27463 	28397 	29904 	: @C	29872 	30746 
A,V13110,LKIS_MKT,MIO_EUR,SK	44017 	32720 	48449 b	50763 	52698 	51510 	52924 
A,V13110,LKIS_MKT,MIO_EUR,TR	: 	375683 	: 	: 	: 	: 	: 
A,V13110,LKIS_MKT,MIO_EUR,UK	1544903 	1274078 	1417064 	1551838 	1710967 	1768543 	1813669 
A,V13310,C,MIO_EUR,AT	28637 	27724 	28188 	29619 	31237 	32214 	33032 
A,V13310,C,MIO_EUR,BE	29843 	28555 	28381 	28984 	29484 	30069 	29984 
A,V13310,C,MIO_EUR,BG	2271 	2104 	2068 	2231 	2335 	2471 	2692 
A,V13310,C,MIO_EUR,CH	: 	40911 	44400 b	52114 	53030 	51960 	52712 
A,V13310,C,MIO_EUR,CY	738 	749 	749 	724 	657 	554 	522 
A,V13310,C,MIO_EUR,CZ	17807 p	15140 	15929 	17299 	17416 	16906 	16704 
A,V13310,C,MIO_EUR,DE	329705 	309565 	322267 	339212 	352171 	363409 	376789 
A,V13310,C,MIO_EUR,DK	19554 	17721 	17034 	17145 	17414 	17264 	18020 
A,V13310,C,MIO_EUR,EE	1422 	1120 	1125 	1270 	1388 	1513 	1660 
A,V13310,C,MIO_EUR,EL	8536 	8906 	8548 	7534 	6937 	6167 	5797 
A,V13310,C,MIO_EUR,ES	78396 	69741 	68394 	66796 	63218 	61100 	60616 
A,V13310,C,MIO_EUR,EU27_2007	1077187 	988000 e	1010000 e	1040000 e	: 	: 	: 
A,V13310,C,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13310,C,MIO_EUR,EU28	: 	: 	: 	1040000 e	1070000 e	1070000 e	: 
A,V13310,C,MIO_EUR,FI	18926 	16959 	16617 	17332 	17584 	17013 b	16754 
A,V13310,C,MIO_EUR,FR	: 	146801 	147277 	148964 	151326 	152190 	154864 
A,V13310,C,MIO_EUR,HR	3705 	3331 	3193 	3043 	2977 	2874 	2912 
A,V13310,C,MIO_EUR,HU	9247 	7431 	7751 	8374 	8469 	8461 	8747 
A,V13310,C,MIO_EUR,IE	9303 	8505 	8048 	8044 	7835 	: 	: 
A,V13310,C,MIO_EUR,IT	137926 	128421 	130149 	133052 	130843 	129655 	130492 
A,V13310,C,MIO_EUR,LT	1960 	1449 	1372 	1500 	1609 	1756 	1942 
A,V13310,C,MIO_EUR,LU	1807 	1698 	1756 	1834 	1848 	1847 	1875 
A,V13310,C,MIO_EUR,LV	1120 	780 	750 	842 	955 	1011 	1063 
A,V13310,C,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C,MIO_EUR,NL	33839 	32924 	33225 	34825 	34993 	34786 	35957 
A,V13310,C,MIO_EUR,NO	15940 	13852 	14857 	15812 	17615 	17626 	17137 
A,V13310,C,MIO_EUR,PL	27040 	21089 	23693 	24783 	25605 	25903 	27922 
A,V13310,C,MIO_EUR,PT	11712 	11075 	11009 	10932 	10346 	10326 b	10687 
A,V13310,C,MIO_EUR,RO	7930 	6440 p	6489 	7137 	7208 	7710 	8288 
A,V13310,C,MIO_EUR,SE	35076 	28778 	32196 	36000 	37157 	37101 	35492 
A,V13310,C,MIO_EUR,SI	4320 	3860 	3935 	4009 	4041 	4034 	4180 
A,V13310,C,MIO_EUR,SK	5094 	4650 	5119 b	5532 	5789 	5953 	6445 
A,V13310,C,MIO_EUR,TR	: 	19241 	: 	: 	: 	: 	: 
A,V13310,C,MIO_EUR,UK	102193 	85623 	86729 	86710 	94880 	93240 	100653 
A,V13310,C_HTC,MIO_EUR,AT	1910 	1945 	1772 	1848 	2024 	2178 	2301 
A,V13310,C_HTC,MIO_EUR,BE	: @C	2895 	: @C	: @C	2553 	2914 	2895 
A,V13310,C_HTC,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC,MIO_EUR,CH	: 	10681 	11895 b	14155 	14603 	14559 	15201 
A,V13310,C_HTC,MIO_EUR,CY	27 	29 	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC,MIO_EUR,CZ	917 p	797 	742 	809 	922 	851 	817 
A,V13310,C_HTC,MIO_EUR,DE	26982 	23316 	24158 	25204 	25923 	27168 	28171 
A,V13310,C_HTC,MIO_EUR,DK	2413 	2596 	2691 	2792 	2905 	3030 	3347 
A,V13310,C_HTC,MIO_EUR,EE	75 	69 	74 	83 	88 	96 	104 
A,V13310,C_HTC,MIO_EUR,EL	336 	344 	: @C	282 	283 	379 	290 
A,V13310,C_HTC,MIO_EUR,ES	3771 	3533 	3695 	3298 	3223 	3206 	3120 
A,V13310,C_HTC,MIO_EUR,EU27_2007	89418 	81359 	82931 	82084 e	: 	: 	: 
A,V13310,C_HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13310,C_HTC,MIO_EUR,EU28	: 	: 	: 	82186 e	85454 	87870 	: 
A,V13310,C_HTC,MIO_EUR,FI	: @C	: @C	2552 	2474 	2518 	: b	2121 
A,V13310,C_HTC,MIO_EUR,FR	: 	13979 	14225 	14528 	14721 	15253 	15931 
A,V13310,C_HTC,MIO_EUR,HR	: @C	: @C	: @C	189 	165 	230 	234 
A,V13310,C_HTC,MIO_EUR,HU	1311 	1095 	1227 	1326 	1272 	1166 	1147 
A,V13310,C_HTC,MIO_EUR,IE	2198 	2344 	2107 	1979 	1935 	: 	: 
A,V13310,C_HTC,MIO_EUR,IT	9506 	8875 	8988 	9371 	9133 	9004 	8522 
A,V13310,C_HTC,MIO_EUR,LT	58 	45 	49 	53 	52 	55 	60 
A,V13310,C_HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC,MIO_EUR,NL	: @C	2560 	2770 	2673 	2630 	2644 	2797 
A,V13310,C_HTC,MIO_EUR,NO	: @C	: @C	: @C	: @C	: @C	1034 	: @C
A,V13310,C_HTC,MIO_EUR,PL	1300 	1039 	1218 	1115 	1123 	1070 	1168 
A,V13310,C_HTC,MIO_EUR,PT	446 	434 	427 	416 	397 	392 b	408 
A,V13310,C_HTC,MIO_EUR,RO	300 	258 p	289 	335 	322 	365 	408 
A,V13310,C_HTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	4656 	4642 	: @C
A,V13310,C_HTC,MIO_EUR,SI	416 	436 	419 	420 	442 	459 	485 
A,V13310,C_HTC,MIO_EUR,SK	266 	: @C	289 b	270 	269 	266 	271 
A,V13310,C_HTC,MIO_EUR,TR	: 	1067 	: 	: 	: 	: 	: 
A,V13310,C_HTC,MIO_EUR,UK	9334 	7659 	7402 	7303 	7570 	8129 	8696 
A,V13310,C_HTC_M,MIO_EUR,AT	9818 	9209 	9444 	10184 	10868 	11238 	11430 
A,V13310,C_HTC_M,MIO_EUR,BE	: @C	: @C	8991 	9485 	9480 	9616 	9777 
A,V13310,C_HTC_M,MIO_EUR,BG	431 	: @C	397 	453 	492 	523 	591 
A,V13310,C_HTC_M,MIO_EUR,CH	: 	11572 	: @C	: @C	14557 	13865 	13918 
A,V13310,C_HTC_M,MIO_EUR,CY	47 	49 	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC_M,MIO_EUR,CZ	6728 p	5692 	6150 	6921 	6973 	6929 	6946 
A,V13310,C_HTC_M,MIO_EUR,DE	162193 	153467 	158969 	168352 	177126 	183496 	191235 
A,V13310,C_HTC_M,MIO_EUR,DK	5956 	5370 	5123 	5195 	5147 	4985 	5230 
A,V13310,C_HTC_M,MIO_EUR,EE	248 	185 	186 	226 	252 	270 	289 
A,V13310,C_HTC_M,MIO_EUR,EL	1469 	1380 	: @C	1102 	1020 	884 	847 
A,V13310,C_HTC_M,MIO_EUR,ES	21480 	19496 	19165 	19122 	18553 	18377 	18712 
A,V13310,C_HTC_M,MIO_EUR,EU27_2007	389438 	358364 e	369221 e	: @C	: 	: 	: 
A,V13310,C_HTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13310,C_HTC_M,MIO_EUR,EU28	: 	: 	: 	386869 e	399691 e	406796 e	: 
A,V13310,C_HTC_M,MIO_EUR,FI	5235 	4650 	4561 	: @C	: @C	: b	: @C
A,V13310,C_HTC_M,MIO_EUR,FR	: 	46784 	46365 	47073 	49035 	49258 	50086 
A,V13310,C_HTC_M,MIO_EUR,HR	702 	639 	588 	: @C	580 	577 	567 
A,V13310,C_HTC_M,MIO_EUR,HU	2989 	2262 	2446 	2781 	2854 	2927 	3140 
A,V13310,C_HTC_M,MIO_EUR,IE	1619 	1202 	: @C	: @C	: @C	: 	: 
A,V13310,C_HTC_M,MIO_EUR,IT	43216 	39436 	41470 	42785 	42391 	42563 	43978 
A,V13310,C_HTC_M,MIO_EUR,LT	281 	201 	179 	187 	218 	243 	276 
A,V13310,C_HTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC_M,MIO_EUR,LV	146 	93 	96 	: @C	: @C	136 	144 
A,V13310,C_HTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_HTC_M,MIO_EUR,NL	: @C	10267 	10034 	10949 	11236 	11343 	11748 
A,V13310,C_HTC_M,MIO_EUR,NO	5318 	4499 	4735 	5109 	5968 	6178 	: @C
A,V13310,C_HTC_M,MIO_EUR,PL	7252 	5539 	6187 	6550 	6851 	6994 	7483 
A,V13310,C_HTC_M,MIO_EUR,PT	2163 	1903 	1917 	1968 	1866 	1866 b	1941 
A,V13310,C_HTC_M,MIO_EUR,RO	2262 	1917 p	2043 	2300 	2373 	2667 	2821 
A,V13310,C_HTC_M,MIO_EUR,SE	12621 	10168 	11503 	13067 	13345 	13557 	13105 
A,V13310,C_HTC_M,MIO_EUR,SI	1279 	: @C	: @C	: @C	1245 	1216 	: @C
A,V13310,C_HTC_M,MIO_EUR,SK	1800 	1570 	1775 b	2069 	2286 	2452 	2601 
A,V13310,C_HTC_M,MIO_EUR,TR	: 	4844 	: 	: 	: 	: 	: 
A,V13310,C_HTC_M,MIO_EUR,UK	30975 	27233 	28183 	28198 	31237 	31202 	33831 
A,V13310,C_LTC,MIO_EUR,AT	: @C	: @C	: @C	: @C	8260 	8366 	8614 
A,V13310,C_LTC,MIO_EUR,BE	: @C	: @C	: @C	: @C	7943 	8035 	8006 
A,V13310,C_LTC,MIO_EUR,BG	991 	: @C	961 	1030 	1060 	1121 	1184 
A,V13310,C_LTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,DE	58076 	55638 	58642 	59936 	60763 	61514 	62843 
A,V13310,C_LTC,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,EE	684 	545 	550 	595 	647 	701 	777 
A,V13310,C_LTC,MIO_EUR,EL	3685 	4057 	: @C	: @C	3266 	2793 	2693 
A,V13310,C_LTC,MIO_EUR,ES	25751 	23400 	22980 	22346 	21024 	20333 	19801 
A,V13310,C_LTC,MIO_EUR,EU27_2007	286469 	266683 e	269539 e	: @C	: 	: 	: 
A,V13310,C_LTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13310,C_LTC,MIO_EUR,EU28	: 	: 	: 	: @C	274324 e	272754 d	: 
A,V13310,C_LTC,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: b	5005 
A,V13310,C_LTC,MIO_EUR,FR	: 	41195 	41637 	: @C	42713 	: @C	42940 
A,V13310,C_LTC,MIO_EUR,HR	: @C	: @C	: @C	: @C	1356 	: @C	: @C
A,V13310,C_LTC,MIO_EUR,HU	2352 	1951 	1964 	2002 	2031 	2056 	2095 
A,V13310,C_LTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V13310,C_LTC,MIO_EUR,IT	: @C	40225 	39692 	39905 	38965 	38910 	39195 
A,V13310,C_LTC,MIO_EUR,LT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,NL	: @C	10095 	10380 	10483 	10421 	10384 	10616 
A,V13310,C_LTC,MIO_EUR,NO	: @C	: @C	: @C	5064 	5428 	5276 	4947 
A,V13310,C_LTC,MIO_EUR,PL	9540 	7650 	8433 	8680 	8813 	8995 	9651 
A,V13310,C_LTC,MIO_EUR,PT	: @C	5297 	5252 	5199 	4908 	4895 b	5079 
A,V13310,C_LTC,MIO_EUR,RO	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,SI	1234 	1084 	1050 	1013 	964 	927 	929 
A,V13310,C_LTC,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC,MIO_EUR,TR	: 	8058 	: 	: 	: 	: 	: 
A,V13310,C_LTC,MIO_EUR,UK	31678 	26701 	27004 	26609 	28368 	27623 	29763 
A,V13310,C_LTC_M,MIO_EUR,AT	: @C	: @C	: @C	: @C	10084 	10433 	10687 
A,V13310,C_LTC_M,MIO_EUR,BE	: @C	8802 	8651 	9348 	9508 	9505 	9305 
A,V13310,C_LTC_M,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,DE	82454 	77145 	80498 	85720 	88360 	91231 	94539 
A,V13310,C_LTC_M,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,EE	415 	321 	316 	366 	401 	446 	489 
A,V13310,C_LTC_M,MIO_EUR,EL	3047 	3125 	2906 	: @C	2368 	2111 	1967 
A,V13310,C_LTC_M,MIO_EUR,ES	27394 	23313 	22554 	22029 	20418 	19184 	18983 
A,V13310,C_LTC_M,MIO_EUR,EU27_2007	311862 	281627 e	287268 e	: @C	: 	: 	: 
A,V13310,C_LTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V13310,C_LTC_M,MIO_EUR,EU28	: 	: 	: 	298801 e	: @C	302580 e	: 
A,V13310,C_LTC_M,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,FR	: 	44843 	45050 	: @C	44858 	45055 	45907 
A,V13310,C_LTC_M,MIO_EUR,HR	: @C	: @C	: @C	: @C	877 	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,HU	2595 	2123 	2114 	2266 	2312 	2314 	2365 
A,V13310,C_LTC_M,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V13310,C_LTC_M,MIO_EUR,IT	43900 	39885 	39999 	40992 	40355 	39178 	38797 
A,V13310,C_LTC_M,MIO_EUR,LT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,LV	: @C	199 	185 	208 	258 	: @C	265 
A,V13310,C_LTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,NL	: @C	10002 	10040 	10719 	10707 	10416 	10797 
A,V13310,C_LTC_M,MIO_EUR,NO	: @C	: @C	4401 	: @C	: @C	5138 	: @C
A,V13310,C_LTC_M,MIO_EUR,PL	8948 	6862 	7855 	8437 	8819 	8844 	9621 
A,V13310,C_LTC_M,MIO_EUR,PT	: @C	3441 	3414 	3349 	3176 	3174 b	3259 
A,V13310,C_LTC_M,MIO_EUR,RO	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,SE	8981 	7206 	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,SI	1391 	: @C	: @C	: @C	1391 	1433 	: @C
A,V13310,C_LTC_M,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,C_LTC_M,MIO_EUR,TR	: 	5272 	: 	: 	: 	: 	: 
A,V13310,C_LTC_M,MIO_EUR,UK	30206 	24030 	24141 	24600 	27705 	26287 	28364 
A,V13310,HTC,MIO_EUR,AT	6414 	6380 	6376 	6996 	7338 	7861 	8218 
A,V13310,HTC,MIO_EUR,BE	: @C	10071 	: @C	: @C	9970 	10443 	10674 
A,V13310,HTC,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,HTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V13310,HTC,MIO_EUR,CY	277 	300 	: @C	: @C	: @C	: @C	: @C
A,V13310,HTC,MIO_EUR,CZ	3253 p	3140 	3260 	3546 	3666 	3553 	3509 
A,V13310,HTC,MIO_EUR,DE	73959 	70850 	69408 	74373 	78092 	83997 	90512 
A,V13310,HTC,MIO_EUR,DK	8349 	8450 	8647 	8931 	8867 	9372 	9645 
